"","adm2_code","mean","date"
"354","77364",38.010030963789,2024-11-23
"355","77317",30.4930929421623,2024-11-23
"356","77364",28.0043878138695,2024-11-24
"357","77317",34.827906152598,2024-11-24
"358","77364",35.1616841276963,2024-11-25
"359","77317",16.7293908893079,2024-11-25
"360","77364",34.2201099347894,2024-11-26
"361","77317",18.408064895599,2024-11-26
"362","77364",30.7630586719498,2024-11-27
"363","77317",18.4663011570822,2024-11-27
"364","77364",29.6868682285463,2024-11-28
"365","77317",30.8238776640075,2024-11-28
"366","77364",28.8872788152389,2024-11-29
"367","77317",32.5454524878093,2024-11-29
"368","77364",35.4349917528116,2024-11-30
"369","77317",28.9437047774107,2024-11-30
"370","77364",34.5214505529879,2024-12-01
"371","77317",27.9171553266604,2024-12-01
"372","77364",36.661799578114,2024-12-02
"373","77317",26.3646282172773,2024-12-02
"374","77364",37.0492698618996,2024-12-03
"375","77317",19.7913747819402,2024-12-03
"376","77364",38.3679591716282,2024-12-04
"377","77317",19.5208856305931,2024-12-04
"378","77364",37.8437785066746,2024-12-05
"379","77317",22.8957387065469,2024-12-05
"380","77364",38.4784300912156,2024-12-06
"381","77317",20.3137583992675,2024-12-06
"382","77364",35.1620545446245,2024-12-07
"383","77317",24.18121948151,2024-12-07
"384","77364",33.2950013693684,2024-12-08
"385","77317",29.9827849356571,2024-12-08
"386","77317",33.1409176095646,2024-12-09
"387","77364",35.9162131367823,2024-12-10
"388","77317",30.5733922431964,2024-12-10
"389","77364",33.347599118348,2024-12-11
"390","77317",32.2850507705936,2024-12-11
"391","77364",34.3519937050729,2024-12-12
"392","77317",9.16663882121606,2024-12-12
"393","77364",36.6364901148172,2024-12-13
"394","77317",24.5831949443168,2024-12-13
"395","77364",34.16981749141,2024-12-14
"396","77317",30.6318657172726,2024-12-14
"397","77317",27.3500017730716,2024-12-15
"398","77317",22.6623415687567,2024-12-16
"399","77364",28.5772367864945,2024-12-17
"400","77317",28.8863780210673,2024-12-18
"401","77317",32.7238567406775,2024-12-19
"402","77364",25.3375350645555,2024-12-20
"403","77317",31.7620556033129,2024-12-20
"404","77317",32.1722733962268,2024-12-21
"405","77317",30.8333344530009,2024-12-22
"406","77317",29.0882023447219,2024-12-23
"407","77317",32.17856743307,2024-12-24
"408","77364",23.5203617949563,2024-12-25
"409","77317",38.5355444042115,2024-12-25
"410","77317",37.3780118029928,2024-12-26
"411","77364",25.6341370820685,2024-12-27
"412","77317",27.4975815388333,2024-12-27
"413","77317",34.8171562235128,2024-12-28
"414","77364",26.1220662067131,2024-12-29
"415","77317",15.6708236812656,2024-12-29
"416","77317",25.599538004685,2024-12-30
"417","77317",30.4798073523913,2024-12-31
"418","77317",30.7987588925259,2025-01-01
"419","77317",33.0894435364537,2025-01-02
"420","77317",31.9185131545576,2025-01-03
"421","77364",27.8012157110122,2025-01-04
"422","77317",34.0970696558304,2025-01-04
"423","77317",27.0508117947702,2025-01-05
"424","77317",29.3771439722547,2025-01-06
"425","77317",29.3547962299777,2025-01-07
"426","77317",28.1726458918055,2025-01-08
"427","77317",25.1610228438414,2025-01-09
"428","77317",27.3096624578578,2025-01-10
"429","77317",30.5060884674504,2025-01-11
"430","77317",31.4971418073961,2025-01-12
"431","77317",31.1528468527692,2025-01-13
"432","77364",19.8031248019994,2025-01-14
"433","77317",30.8504127458401,2025-01-14
"434","77364",27.2265655234062,2025-01-15
"435","77317",20.616486456616,2025-01-15
"436","77364",25.9193205909796,2025-01-16
"437","77317",29.7716812884091,2025-01-16
"438","77317",34.36749223315,2025-01-17
"439","77364",23.579483324155,2025-01-18
"440","77317",29.5884259829748,2025-01-18
"441","77364",28.241326301119,2025-01-19
"442","77317",29.3778240400771,2025-01-19
"443","77364",30.7802153676954,2025-01-20
"444","77317",28.0816941935834,2025-01-20
"445","77364",28.1456767071292,2025-01-21
"446","77317",33.3915800702153,2025-01-21
"447","77364",27.7584006064315,2025-01-22
"448","77317",38.5089871404186,2025-01-22
"449","77364",29.8713140799097,2025-01-23
"450","77317",21.8399364632577,2025-01-23
"451","77364",30.9133793015,2025-01-24
"452","77317",33.5447100218065,2025-01-24
"453","77364",30.0235743448123,2025-01-25
"454","77317",32.2648986734641,2025-01-25
"455","77364",32.3322972492945,2025-01-26
"456","77317",32.3846111965632,2025-01-26
"457","77364",29.7756240471577,2025-01-27
"458","77317",28.4165434767667,2025-01-27
"459","77364",31.5509566677555,2025-01-28
"460","77317",31.0712660122547,2025-01-28
"461","77364",31.4158248526807,2025-01-29
"462","77317",32.9666520046831,2025-01-29
"463","77364",30.5893551921848,2025-01-30
"464","77317",8.99519123857256,2025-01-30
"465","77364",32.9018141667042,2025-01-31
"466","77317",23.9024363271539,2025-01-31
"467","77364",32.1971042871604,2025-02-01
"468","77317",31.2227451060211,2025-02-01
"469","77364",30.0714884329962,2025-02-02
"470","77317",27.455425621092,2025-02-02
"471","77317",30.7246460986596,2025-02-03
"472","77364",28.8132003745257,2025-02-04
"473","77317",30.6757536230697,2025-02-04
"474","77364",30.6884268579535,2025-02-05
"475","77317",20.7350046316366,2025-02-05
"476","77364",24.202531524063,2025-02-06
"477","77317",28.5605694627157,2025-02-06
"478","77317",34.184864474678,2025-02-07
"479","77364",28.7029984622249,2025-02-08
"480","77317",31.5620497980369,2025-02-08
"481","77364",31.0320265335986,2025-02-09
"482","77317",26.884265137885,2025-02-09
"483","77364",24.4631126532077,2025-02-10
"484","77317",28.3707053616365,2025-02-10
"485","77317",31.2602419090591,2025-02-11
"486","77364",22.124813256424,2025-02-12
"487","77317",31.9242147515754,2025-02-12
"488","77317",27.4791776551396,2025-02-13
"489","77317",26.5851468985255,2025-02-14
"490","77317",29.6126012725899,2025-02-15
"491","77317",30.0427705894985,2025-02-16
"492","77317",28.8291421348737,2025-02-17
"493","77317",29.3469974779883,2025-02-18
"494","77317",25.3108358250438,2025-02-19
"495","77317",31.9779940442367,2025-02-20
"496","77364",23.1064516253701,2025-02-21
"497","77317",27.9403060893395,2025-02-21
"498","77364",23.7220647360074,2025-02-22
"499","77317",29.5203072433858,2025-02-22
"500","77317",28.4697559949083,2025-02-23
"501","77364",21.4450364338908,2025-02-24
"502","77317",23.6044489853646,2025-02-24
"503","77364",28.3823533586457,2025-02-25
"504","77317",28.2677134591125,2025-02-25
"505","77364",25.5544830549314,2025-02-26
"506","77317",29.5653308713581,2025-02-26
"507","77364",23.8240552747874,2025-02-27
"508","77317",26.1714215984938,2025-02-27
